Study ID	Patient ID	Sample ID	MGMT: Methylation (HM27)
gbm_tcga	TCGA-06-1805	TCGA-06-1805-01	0.385353175900249
gbm_tcga	TCGA-06-2557	TCGA-06-2557-01	0.0579924379273743
gbm_tcga	TCGA-06-2558	TCGA-06-2558-01	0.029383545136821
gbm_tcga	TCGA-06-2559	TCGA-06-2559-01	0.078083162666269
gbm_tcga	TCGA-06-2561	TCGA-06-2561-01	0.381089534426048
gbm_tcga	TCGA-06-2562	TCGA-06-2562-01	0.0453790646744187
gbm_tcga	TCGA-06-2563	TCGA-06-2563-01	0.712907354618475
gbm_tcga	TCGA-06-2564	TCGA-06-2564-01	0.297443842271728
gbm_tcga	TCGA-06-2565	TCGA-06-2565-01	0.75551360189832
gbm_tcga	TCGA-06-2566	TCGA-06-2566-01	0.0622068787715851
gbm_tcga	TCGA-06-2567	TCGA-06-2567-01	0.460249695025547
gbm_tcga	TCGA-06-2569	TCGA-06-2569-01	0.0143161034172139
gbm_tcga	TCGA-06-2570	TCGA-06-2570-01	0.819977742105204
gbm_tcga	TCGA-12-0670	TCGA-12-0670-01	0.499130855882157
gbm_tcga	TCGA-12-0818	TCGA-12-0818-01	0.40071853136705
gbm_tcga	TCGA-12-0819	TCGA-12-0819-01	0.131566310389174
gbm_tcga	TCGA-12-0820	TCGA-12-0820-01	0.687761302510173
gbm_tcga	TCGA-12-0821	TCGA-12-0821-01	0.0461903088173068
gbm_tcga	TCGA-12-0822	TCGA-12-0822-01	0.133413402982931
gbm_tcga	TCGA-12-0826	TCGA-12-0826-01	0.0726993451089283
gbm_tcga	TCGA-12-0827	TCGA-12-0827-01	0.419595205470978
gbm_tcga	TCGA-12-0828	TCGA-12-0828-01	0.122256348111404
gbm_tcga	TCGA-12-0829	TCGA-12-0829-01	0.500707501997749
gbm_tcga	TCGA-12-1088	TCGA-12-1088-01	0.053863368020609
gbm_tcga	TCGA-12-1089	TCGA-12-1089-01	0.0433773483539938
gbm_tcga	TCGA-12-1090	TCGA-12-1090-01	0.0721465101354545
gbm_tcga	TCGA-12-1091	TCGA-12-1091-01	0.0817105477061406
gbm_tcga	TCGA-12-1092	TCGA-12-1092-01	0.60564237162682
gbm_tcga	TCGA-12-1093	TCGA-12-1093-01	0.0303278306624038
gbm_tcga	TCGA-12-1094	TCGA-12-1094-01	0.0490180018945864
gbm_tcga	TCGA-12-1095	TCGA-12-1095-01	0.20496810419691
gbm_tcga	TCGA-12-1096	TCGA-12-1096-01	0.217392448388345
gbm_tcga	TCGA-12-1097	TCGA-12-1097-01	0.0366479449417266
gbm_tcga	TCGA-12-1098	TCGA-12-1098-01	0.0330692626399582
gbm_tcga	TCGA-12-1099	TCGA-12-1099-01	0.058177783734024
gbm_tcga	TCGA-12-1597	TCGA-12-1597-01	0.131730775571276
gbm_tcga	TCGA-12-1598	TCGA-12-1598-01	0.722772991331703
gbm_tcga	TCGA-12-1599	TCGA-12-1599-01	0.0853700128530363
gbm_tcga	TCGA-12-1600	TCGA-12-1600-01	0.0209103269938702
gbm_tcga	TCGA-12-1602	TCGA-12-1602-01	0.742336935905764
gbm_tcga	TCGA-12-3644	TCGA-12-3644-01	0.324259444995941
gbm_tcga	TCGA-12-3646	TCGA-12-3646-01	0.146821040842839
gbm_tcga	TCGA-12-3648	TCGA-12-3648-01	0.139126009369295
gbm_tcga	TCGA-12-3649	TCGA-12-3649-01	0.0279400543287431
gbm_tcga	TCGA-12-3650	TCGA-12-3650-01	0.283715153942813
gbm_tcga	TCGA-12-3651	TCGA-12-3651-01	0.35101823282069
gbm_tcga	TCGA-12-3652	TCGA-12-3652-01	0.060794140578975
gbm_tcga	TCGA-12-3653	TCGA-12-3653-01	0.0467783594659444
gbm_tcga	TCGA-14-0736	TCGA-14-0736-01	0.0168801365287974
gbm_tcga	TCGA-14-0783	TCGA-14-0783-01	0.169923146737691
gbm_tcga	TCGA-14-0786	TCGA-14-0786-01	0.414926936919849
gbm_tcga	TCGA-14-0787	TCGA-14-0787-01	0.359085370882384
gbm_tcga	TCGA-14-0789	TCGA-14-0789-01	0.574930994345722
gbm_tcga	TCGA-14-0790	TCGA-14-0790-01	0.81712067064025
gbm_tcga	TCGA-14-0812	TCGA-14-0812-01	0.339955398991327
gbm_tcga	TCGA-14-0813	TCGA-14-0813-01	0.387206427220848
gbm_tcga	TCGA-14-0817	TCGA-14-0817-01	0.0214031830185754
gbm_tcga	TCGA-14-0865	TCGA-14-0865-01	0.180819039354883
gbm_tcga	TCGA-14-0866	TCGA-14-0866-01	0.690970803905629
gbm_tcga	TCGA-14-0867	TCGA-14-0867-01	0.726404377502078
gbm_tcga	TCGA-14-0871	TCGA-14-0871-01	0.0231718607997031
gbm_tcga	TCGA-14-1034	TCGA-14-1034-01	0.141387807510068
gbm_tcga	TCGA-14-1037	TCGA-14-1037-01	0.0392357430528341
gbm_tcga	TCGA-14-1396	TCGA-14-1396-01	0.493624619053378
gbm_tcga	TCGA-14-1401	TCGA-14-1401-01	0.106895372754796
gbm_tcga	TCGA-14-1402	TCGA-14-1402-01	0.399529558595147
gbm_tcga	TCGA-14-1451	TCGA-14-1451-01	0.0147324743755726
